Search_method Problem Max_evals Run Score
hill_climber_restarts knapPI_13_1000_1000_4 1000 0 17998
hill_climber_restarts knapPI_13_1000_1000_4 1000 1 18049
hill_climber_restarts knapPI_13_1000_1000_4 1000 2 17998
hill_climber_restarts knapPI_13_1000_1000_4 1000 3 18015
hill_climber_restarts knapPI_13_1000_1000_4 1000 4 18015
hill_climber_restarts knapPI_13_1000_1000_4 1000 5 17998
hill_climber_restarts knapPI_13_1000_1000_4 1000 6 18006
hill_climber_restarts knapPI_13_1000_1000_4 1000 7 17998
hill_climber_restarts knapPI_13_1000_1000_4 1000 8 18075
hill_climber_restarts knapPI_13_1000_1000_4 1000 9 17998
hill_climber_restarts knapPI_16_1000_1000_4 1000 0 34637
hill_climber_restarts knapPI_16_1000_1000_4 1000 1 34140
hill_climber_restarts knapPI_16_1000_1000_4 1000 2 34228
hill_climber_restarts knapPI_16_1000_1000_4 1000 3 34806
hill_climber_restarts knapPI_16_1000_1000_4 1000 4 36055
hill_climber_restarts knapPI_16_1000_1000_4 1000 5 35397
hill_climber_restarts knapPI_16_1000_1000_4 1000 6 35496
hill_climber_restarts knapPI_16_1000_1000_4 1000 7 34616
hill_climber_restarts knapPI_16_1000_1000_4 1000 8 33780
hill_climber_restarts knapPI_16_1000_1000_4 1000 9 34018
hill_climber_restarts knapPI_16_1000_1000_3 1000 0 26893
hill_climber_restarts knapPI_16_1000_1000_3 1000 1 28675
hill_climber_restarts knapPI_16_1000_1000_3 1000 2 25964
hill_climber_restarts knapPI_16_1000_1000_3 1000 3 26567
hill_climber_restarts knapPI_16_1000_1000_3 1000 4 25111
hill_climber_restarts knapPI_16_1000_1000_3 1000 5 26281
hill_climber_restarts knapPI_16_1000_1000_3 1000 6 26375
hill_climber_restarts knapPI_16_1000_1000_3 1000 7 26726
hill_climber_restarts knapPI_16_1000_1000_3 1000 8 25688
hill_climber_restarts knapPI_16_1000_1000_3 1000 9 26324
random_search knapPI_11_20_1000_4 1000 0 1200
random_search knapPI_11_20_1000_4 1000 1 1240
random_search knapPI_11_20_1000_4 1000 2 1240
random_search knapPI_11_20_1000_4 1000 3 1200
random_search knapPI_11_20_1000_4 1000 4 1060
random_search knapPI_11_20_1000_4 1000 5 1120
random_search knapPI_11_20_1000_4 1000 6 1120
random_search knapPI_11_20_1000_4 1000 7 1040
random_search knapPI_11_20_1000_4 1000 8 1400
random_search knapPI_11_20_1000_4 1000 9 1340
random_search knapPI_13_20_1000_4 1000 0 880
random_search knapPI_13_20_1000_4 1000 1 -1174
random_search knapPI_13_20_1000_4 1000 2 -1103
random_search knapPI_13_20_1000_4 1000 3 676
random_search knapPI_13_20_1000_4 1000 4 480
random_search knapPI_13_20_1000_4 1000 5 -1636
